AvgSpotLen	BioSample	Experiment	LibraryLayout	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	barcode	c1_batch_id	c1_chip_size	c1_machine_id	c1_plate_coordinate	dilution_plate_coordinate	dob	ercc_spike_in_dilution	experimental_condition	expt_condition	facs_selection	index_set	lane	library_plate_coordinate	library_plate_id	number_of_animals	sequencing_run_id	sex_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	genetic_background	source_name	visual_qc
50	SAMN06468774	SRX2607938	SINGLE	40	29	SRR5306731	SRS2020351	GSM2517064	P21	N702_S516	GBC08A	medium	Frodo	14	C2	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468772	SRX2607939	SINGLE	10	7	SRR5306732	SRS2020350	GSM2517065	P21	N702_S517	GBC08A	medium	Frodo	62	C5	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	D2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468771	SRX2607940	SINGLE	58	41	SRR5306733	SRS2020354	GSM2517066	P21	N702_S518	GBC08A	medium	Frodo	18	C7	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	E2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468770	SRX2607941	SINGLE	49	35	SRR5306734	SRS2020352	GSM2517067	P21	N702_S520	GBC08A	medium	Frodo	17	C8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	F2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468768	SRX2607942	SINGLE	39	29	SRR5306735	SRS2020353	GSM2517068	P21	N702_S521	GBC08A	medium	Frodo	16	C9	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	G2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468765	SRX2607943	SINGLE	43	31	SRR5306736	SRS2020356	GSM2517069	P21	N702_S522	GBC08A	medium	Frodo	21	D1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	H2	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468769	SRX2607944	SINGLE	75	53	SRR5306737	SRS2020357	GSM2517070	P21	N703_S513	GBC08A	medium	Frodo	69	D6	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468767	SRX2607945	SINGLE	80	56	SRR5306738	SRS2020358	GSM2517071	P21	N703_S515	GBC08A	medium	Frodo	24	D7	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468766	SRX2607946	SINGLE	69	49	SRR5306739	SRS2020355	GSM2517072	P21	N703_S516	GBC08A	medium	Frodo	23	D8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468764	SRX2607947	SINGLE	36	26	SRR5306740	SRS2020362	GSM2517073	P21	N703_S517	GBC08A	medium	Frodo	22	D9	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	D3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468763	SRX2607948	SINGLE	67	47	SRR5306741	SRS2020359	GSM2517074	P21	N703_S518	GBC08A	medium	Frodo	25	E1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	E3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468762	SRX2607949	SINGLE	76	53	SRR5306742	SRS2020360	GSM2517075	P21	N703_S520	GBC08A	medium	Frodo	26	E2	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	F3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468760	SRX2607950	SINGLE	51	37	SRR5306743	SRS2020363	GSM2517076	P21	N703_S521	GBC08A	medium	Frodo	28	E7	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	G3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468761	SRX2607951	SINGLE	78	55	SRR5306744	SRS2020361	GSM2517077	P21	N703_S522	GBC08A	medium	Frodo	29	E8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	H3	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468758	SRX2607952	SINGLE	58	41	SRR5306745	SRS2020364	GSM2517078	P21	N704_S513	GBC08A	medium	Frodo	30	E9	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468759	SRX2607953	SINGLE	71	50	SRR5306746	SRS2020367	GSM2517079	P21	N704_S515	GBC08A	medium	Frodo	78	E10	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468755	SRX2607954	SINGLE	36	27	SRR5306747	SRS2020366	GSM2517080	P21	N704_S516	GBC08A	medium	Frodo	77	E11	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468756	SRX2607955	SINGLE	66	46	SRR5306748	SRS2020365	GSM2517081	P21	N704_S517	GBC08A	medium	Frodo	31	F1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	D4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468757	SRX2607956	SINGLE	76	53	SRR5306749	SRS2020369	GSM2517082	P21	N704_S518	GBC08A	medium	Frodo	81	F4	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	E4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468754	SRX2607957	SINGLE	68	48	SRR5306750	SRS2020368	GSM2517083	P21	N704_S520	GBC08A	medium	Frodo	34	F7	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	F4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468752	SRX2607958	SINGLE	29	22	SRR5306751	SRS2020371	GSM2517084	P21	N704_S521	GBC08A	medium	Frodo	36	F9	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	G4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468753	SRX2607959	SINGLE	80	57	SRR5306752	SRS2020375	GSM2517085	P21	N704_S522	GBC08A	medium	Frodo	37	G1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	H4	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468751	SRX2607960	SINGLE	51	36	SRR5306753	SRS2020373	GSM2517086	P21	N705_S513	GBC08A	medium	Frodo	38	G2	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468750	SRX2607961	SINGLE	68	48	SRR5306754	SRS2020370	GSM2517087	P21	N705_S515	GBC08A	medium	Frodo	39	G3	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468749	SRX2607962	SINGLE	67	47	SRR5306755	SRS2020372	GSM2517088	P21	N705_S516	GBC08A	medium	Frodo	85	G6	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468748	SRX2607963	SINGLE	66	47	SRR5306756	SRS2020374	GSM2517089	P21	N705_S517	GBC08A	medium	Frodo	41	G8	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	D5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468747	SRX2607964	SINGLE	70	49	SRR5306757	SRS2020377	GSM2517090	P21	N705_S518	GBC08A	medium	Frodo	89	G11	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	E5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468746	SRX2607965	SINGLE	76	53	SRR5306758	SRS2020378	GSM2517091	P21	N705_S520	GBC08A	medium	Frodo	43	H1	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	F5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468745	SRX2607966	SINGLE	51	37	SRR5306759	SRS2020376	GSM2517092	P21	N705_S521	GBC08A	medium	Frodo	93	H4	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	G5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468744	SRX2607967	SINGLE	70	49	SRR5306760	SRS2020380	GSM2517093	P21	N705_S522	GBC08A	medium	Frodo	48	H9	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	H5	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468743	SRX2607968	SINGLE	53	37	SRR5306761	SRS2020379	GSM2517094	P21	N706_S513	GBC08A	medium	Frodo	94	H12	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	A6	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468741	SRX2607969	SINGLE	15	11	SRR5306762	SRS2020381	GSM2517095	P21	N706_S515	GBC08B	small	Smeagol	2	A2	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	B6	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
50	SAMN06468739	SRX2607970	SINGLE	17	13	SRR5306763	SRS2020382	GSM2517096	P21	N706_S516	GBC08B	small	Smeagol	1	A3	2015-06-08	NA	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	Sox2eGFP+ICAM-F3-SRB1-	C	2	C6	GBCP04	1	Sox2eG5_GBC08GBC09	M	RNA-Seq	PRJNA377622	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	cDNA	TRANSCRIPTOMIC	2017-03-02	Mus musculus	ILLUMINA	2017-04-18	SRP100980	C57Bl6-129	olfactory epithelium	Yes
