AvgSpotLen	BioSample	Experiment	Instrument	MBases	MBytes	Run	SRA_Sample	Sample_Name	cells_in_well	control_well	debris	hour_post_serum_switch	library_protocol	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type
200	SAMN02413246	SRX379616	Illumina HiSeq 2500	374	225	SRR1032926	SRS504074	GSM1268976	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413250	SRX379617	Illumina HiSeq 2500	547	328	SRR1032927	SRS504075	GSM1268977	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413251	SRX379618	Illumina HiSeq 2500	485	292	SRR1032928	SRS504077	GSM1268978	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413248	SRX379619	Illumina HiSeq 2500	384	235	SRR1032929	SRS504076	GSM1268979	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413252	SRX379620	Illumina HiSeq 2500	524	313	SRR1032930	SRS504078	GSM1268980	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413222	SRX379621	Illumina HiSeq 2500	0	0	SRR1032931	SRS504079	GSM1268981	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413225	SRX379622	Illumina HiSeq 2500	121	76	SRR1032932	SRS504080	GSM1268982	0	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413227	SRX379623	Illumina HiSeq 2500	224	136	SRR1032933	SRS504081	GSM1268983	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_B	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413231	SRX379624	Illumina HiSeq 2500	848	507	SRR1032934	SRS504082	GSM1268984	~250	TRUE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413221	SRX379625	Illumina HiSeq 2500	312	188	SRR1032935	SRS504083	GSM1268985	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413228	SRX379626	Illumina HiSeq 2500	563	338	SRR1032936	SRS504084	GSM1268986	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413232	SRX379627	Illumina HiSeq 2500	0	0	SRR1032937	SRS504085	GSM1268987	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413199	SRX379628	Illumina HiSeq 2500	718	430	SRR1032938	SRS504086	GSM1268988	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413235	SRX379629	Illumina HiSeq 2500	656	393	SRR1032939	SRS504087	GSM1268989	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413195	SRX379630	Illumina HiSeq 2500	633	379	SRR1032940	SRS504088	GSM1268990	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413197	SRX379631	Illumina HiSeq 2500	481	291	SRR1032941	SRS504089	GSM1268991	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413191	SRX379632	Illumina HiSeq 2500	1025	609	SRR1032942	SRS504090	GSM1268992	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413196	SRX379633	Illumina HiSeq 2500	0	0	SRR1032943	SRS504091	GSM1268993	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413198	SRX379634	Illumina HiSeq 2500	788	472	SRR1032944	SRS504092	GSM1268994	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413238	SRX379602	Illumina HiSeq 2500	472	287	SRR1032912	SRS504060	GSM1268962	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413233	SRX379601	Illumina HiSeq 2500	196	119	SRR1032911	SRS504059	GSM1268961	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413234	SRX379600	Illumina HiSeq 2500	480	292	SRR1032910	SRS504058	GSM1268960	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_A	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413200	SRX379635	Illumina HiSeq 2500	409	248	SRR1032945	SRS504093	GSM1268995	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_C	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413203	SRX379636	Illumina HiSeq 2500	504	307	SRR1032946	SRS504094	GSM1268996	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413204	SRX379637	Illumina HiSeq 2500	751	458	SRR1032947	SRS504095	GSM1268997	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413205	SRX379638	Illumina HiSeq 2500	293	179	SRR1032948	SRS504096	GSM1268998	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413223	SRX379639	Illumina HiSeq 2500	0	0	SRR1032949	SRS504097	GSM1268999	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413202	SRX379640	Illumina HiSeq 2500	561	340	SRR1032950	SRS504098	GSM1269000	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413207	SRX379641	Illumina HiSeq 2500	542	331	SRR1032951	SRS504099	GSM1269001	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413201	SRX379642	Illumina HiSeq 2500	503	307	SRR1032952	SRS504100	GSM1269002	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413224	SRX379643	Illumina HiSeq 2500	629	384	SRR1032953	SRS504101	GSM1269003	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413208	SRX379644	Illumina HiSeq 2500	340	207	SRR1032954	SRS504102	GSM1269004	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413206	SRX379645	Illumina HiSeq 2500	0	0	SRR1032955	SRS504103	GSM1269005	2	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413209	SRX379646	Illumina HiSeq 2500	557	338	SRR1032956	SRS504105	GSM1269006	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413211	SRX379647	Illumina HiSeq 2500	486	295	SRR1032957	SRS504104	GSM1269007	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_D	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413226	SRX379648	Illumina HiSeq 2500	552	333	SRR1032958	SRS504106	GSM1269008	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413210	SRX379649	Illumina HiSeq 2500	522	315	SRR1032959	SRS504107	GSM1269009	2	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413217	SRX379650	Illumina HiSeq 2500	620	374	SRR1032960	SRS504108	GSM1269010	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413216	SRX379651	Illumina HiSeq 2500	542	331	SRR1032961	SRS504109	GSM1269011	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413212	SRX379652	Illumina HiSeq 2500	848	512	SRR1032962	SRS504110	GSM1269012	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413218	SRX379653	Illumina HiSeq 2500	682	411	SRR1032963	SRS504111	GSM1269013	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413213	SRX379654	Illumina HiSeq 2500	671	406	SRR1032964	SRS504112	GSM1269014	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413214	SRX379655	Illumina HiSeq 2500	600	362	SRR1032965	SRS504113	GSM1269015	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413215	SRX379656	Illumina HiSeq 2500	625	375	SRR1032966	SRS504114	GSM1269016	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413220	SRX379657	Illumina HiSeq 2500	875	532	SRR1032967	SRS504115	GSM1269017	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413219	SRX379658	Illumina HiSeq 2500	796	478	SRR1032968	SRS504116	GSM1269018	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413163	SRX379659	Illumina HiSeq 2500	565	340	SRR1032969	SRS504117	GSM1269019	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_E	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413161	SRX379660	Illumina HiSeq 2500	775	466	SRR1032970	SRS504118	GSM1269020	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_F	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413162	SRX379661	Illumina HiSeq 2500	683	410	SRR1032971	SRS504119	GSM1269021	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_F	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413169	SRX379662	Illumina HiSeq 2500	551	333	SRR1032972	SRS504120	GSM1269022	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_F	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413167	SRX379663	Illumina HiSeq 2500	722	433	SRR1032973	SRS504121	GSM1269023	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_F	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
200	SAMN02413168	SRX379664	Illumina HiSeq 2500	773	463	SRR1032974	SRS504122	GSM1269024	1	FALSE	FALSE	0	Single-cell	Myoblast_Cell T0_CT_F	RNA-Seq	PRJNA229164	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2013-11-19	Homo sapiens	ILLUMINA	2014-03-24	SRP033135	Human Skeletal Muscle Myoblasts (HSMM)
