BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	source_name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	cell_type	develpmental_stage
SAMN07278020	SRX2956656	2017-06-26	93	39	SRR5756542	SRS2313860	GSM2684122	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278019	SRX2956657	2017-06-26	100	42	SRR5756543	SRS2313859	GSM2684123	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278018	SRX2956658	2017-06-26	67	28	SRR5756544	SRS2313867	GSM2684124	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278017	SRX2956659	2017-06-26	58	24	SRR5756545	SRS2313861	GSM2684125	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278061	SRX2956660	2017-06-26	43	18	SRR5756546	SRS2313862	GSM2684126	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278060	SRX2956661	2017-06-26	94	40	SRR5756547	SRS2313863	GSM2684127	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278022	SRX2956662	2017-06-26	100	42	SRR5756548	SRS2313864	GSM2684128	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278021	SRX2956663	2017-06-26	69	29	SRR5756549	SRS2313865	GSM2684129	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278120	SRX2956664	2017-06-26	91	38	SRR5756550	SRS2313866	GSM2684130	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278063	SRX2956665	2017-06-26	197	84	SRR5756551	SRS2313868	GSM2684131	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278062	SRX2956666	2017-06-26	253	107	SRR5756552	SRS2313869	GSM2684132	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278138	SRX2956667	2017-06-26	247	105	SRR5756553	SRS2313871	GSM2684133	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278123	SRX2956668	2017-06-26	141	60	SRR5756554	SRS2313870	GSM2684134	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278037	SRX2956669	2017-06-26	270	115	SRR5756555	SRS2313872	GSM2684135	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278122	SRX2956670	2017-06-26	87	37	SRR5756556	SRS2313873	GSM2684136	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278121	SRX2956671	2017-06-26	85	36	SRR5756557	SRS2313875	GSM2684137	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278119	SRX2956672	2017-06-26	224	96	SRR5756558	SRS2313874	GSM2684138	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278035	SRX2956673	2017-06-26	73	31	SRR5756559	SRS2313876	GSM2684139	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278034	SRX2956674	2017-06-26	193	81	SRR5756560	SRS2313877	GSM2684140	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278041	SRX2956675	2017-06-26	75	31	SRR5756561	SRS2313878	GSM2684141	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278040	SRX2956676	2017-06-26	62	26	SRR5756562	SRS2313879	GSM2684142	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278039	SRX2956677	2017-06-26	198	84	SRR5756563	SRS2313880	GSM2684143	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278038	SRX2956678	2017-06-26	62	26	SRR5756564	SRS2313881	GSM2684144	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278023	SRX2956679	2017-06-26	88	37	SRR5756565	SRS2313882	GSM2684145	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278036	SRX2956680	2017-06-26	265	113	SRR5756566	SRS2313883	GSM2684146	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278026	SRX2956681	2017-06-26	127	54	SRR5756567	SRS2313884	GSM2684147	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278027	SRX2956682	2017-06-26	146	61	SRR5756568	SRS2313885	GSM2684148	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278025	SRX2956683	2017-06-26	129	55	SRR5756569	SRS2313886	GSM2684149	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278024	SRX2956684	2017-06-26	179	76	SRR5756570	SRS2313887	GSM2684150	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278056	SRX2956685	2017-06-26	305	130	SRR5756571	SRS2313888	GSM2684151	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278057	SRX2956686	2017-06-26	173	73	SRR5756572	SRS2313889	GSM2684152	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278055	SRX2956687	2017-06-26	64	27	SRR5756573	SRS2313890	GSM2684153	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278054	SRX2956688	2017-06-26	159	66	SRR5756574	SRS2313891	GSM2684154	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278053	SRX2956689	2017-06-26	287	118	SRR5756575	SRS2313892	GSM2684155	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278052	SRX2956690	2017-06-26	94	38	SRR5756576	SRS2313893	GSM2684156	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278030	SRX2956691	2017-06-26	152	63	SRR5756577	SRS2313894	GSM2684157	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278029	SRX2956692	2017-06-26	104	42	SRR5756578	SRS2313895	GSM2684158	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278016	SRX2956693	2017-06-26	57	23	SRR5756579	SRS2313896	GSM2684159	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278033	SRX2956694	2017-06-26	276	113	SRR5756580	SRS2313897	GSM2684160	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278032	SRX2956695	2017-06-26	243	99	SRR5756581	SRS2313898	GSM2684161	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278031	SRX2956696	2017-06-26	157	65	SRR5756582	SRS2313899	GSM2684162	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278050	SRX2956697	2017-06-26	146	60	SRR5756583	SRS2313900	GSM2684163	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278051	SRX2956698	2017-06-26	127	56	SRR5756584	SRS2313901	GSM2684164	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278049	SRX2956699	2017-06-26	152	62	SRR5756585	SRS2313902	GSM2684165	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278048	SRX2956700	2017-06-26	56	22	SRR5756586	SRS2313903	GSM2684166	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278047	SRX2956701	2017-06-26	148	60	SRR5756587	SRS2313904	GSM2684167	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278028	SRX2956702	2017-06-26	123	51	SRR5756588	SRS2313905	GSM2684168	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278044	SRX2956703	2017-06-26	106	43	SRR5756589	SRS2313906	GSM2684169	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278043	SRX2956704	2017-06-26	164	67	SRR5756590	SRS2313907	GSM2684170	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278042	SRX2956705	2017-06-26	71	29	SRR5756591	SRS2313908	GSM2684171	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278015	SRX2956706	2017-06-26	115	47	SRR5756592	SRS2313909	GSM2684172	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278014	SRX2956707	2017-06-26	118	48	SRR5756593	SRS2313910	GSM2684173	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278091	SRX2956708	2017-06-26	167	69	SRR5756594	SRS2313911	GSM2684174	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278092	SRX2956709	2017-06-26	271	112	SRR5756595	SRS2313913	GSM2684175	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278090	SRX2956710	2017-06-26	76	31	SRR5756596	SRS2313912	GSM2684176	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278045	SRX2956711	2017-06-26	52	21	SRR5756597	SRS2313914	GSM2684177	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278046	SRX2956712	2017-06-26	716	295	SRR5756598	SRS2313915	GSM2684178	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
SAMN07278093	SRX2956713	2017-06-26	114	47	SRR5756599	SRS2313916	GSM2684179	E6.75	E6.75_Mesp1-GFP+_KO	RNA-Seq	50	PRJNA391918	GEO	public	sra	ncbi	0	Illumina HiSeq 4000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2018-01-29	SRP110511	Mesp1+ cells	Gastrulation
