BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	cell_type_s	strain_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
SAMN04194536	SRX1355035	2015-10-19	255	277	SRR2727288	SRS1121194	GSM1912091	male	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194848	SRX1355115	2015-10-19	452	490	SRR2727368	SRS1121195	GSM1912177	female	Epi	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194795	SRX1355208	2015-10-19	103	113	SRR2727461	SRS1121196	GSM1912270	female	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195028	SRX1355277	2015-10-19	37	43	SRR2727530	SRS1121197	GSM1912339	male	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194989	SRX1355367	2015-10-19	38	44	SRR2727620	SRS1121198	GSM1912429	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194988	SRX1355366	2015-10-19	46	51	SRR2727619	SRS1121199	GSM1912428	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194987	SRX1355365	2015-10-19	231	240	SRR2727618	SRS1121200	GSM1912427	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194986	SRX1355364	2015-10-19	235	242	SRR2727617	SRS1121201	GSM1912426	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194985	SRX1355363	2015-10-19	211	220	SRR2727616	SRS1121202	GSM1912425	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194984	SRX1355362	2015-10-19	121	127	SRR2727615	SRS1121203	GSM1912424	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194983	SRX1355361	2015-10-19	139	146	SRR2727614	SRS1121204	GSM1912423	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194982	SRX1355360	2015-10-19	218	226	SRR2727613	SRS1121205	GSM1912422	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194981	SRX1355359	2015-10-19	464	461	SRR2727612	SRS1121206	GSM1912421	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194980	SRX1355358	2015-10-19	294	306	SRR2727611	SRS1121207	GSM1912420	NA	E4.5 Epiblast	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194782	SRX1355165	2015-10-19	53	61	SRR2727418	SRS1121399	GSM1912227	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194783	SRX1355166	2015-10-19	99	109	SRR2727419	SRS1121398	GSM1912228	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194784	SRX1355167	2015-10-19	47	52	SRR2727420	SRS1121397	GSM1912229	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194785	SRX1355168	2015-10-19	56	63	SRR2727421	SRS1121396	GSM1912230	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194786	SRX1355169	2015-10-19	211	228	SRR2727422	SRS1121395	GSM1912231	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194787	SRX1355170	2015-10-19	205	221	SRR2727423	SRS1121394	GSM1912232	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194788	SRX1355171	2015-10-19	187	203	SRR2727424	SRS1121392	GSM1912233	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194789	SRX1355172	2015-10-19	269	287	SRR2727425	SRS1121393	GSM1912234	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194790	SRX1355173	2015-10-19	208	224	SRR2727426	SRS1121391	GSM1912235	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194791	SRX1355174	2015-10-19	159	175	SRR2727427	SRS1121390	GSM1912236	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194792	SRX1355175	2015-10-19	196	212	SRR2727428	SRS1121389	GSM1912237	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194793	SRX1355176	2015-10-19	110	124	SRR2727429	SRS1121388	GSM1912238	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194794	SRX1355177	2015-10-19	269	288	SRR2727430	SRS1121387	GSM1912239	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194851	SRX1355178	2015-10-19	160	176	SRR2727431	SRS1121386	GSM1912240	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194852	SRX1355179	2015-10-19	94	104	SRR2727432	SRS1121385	GSM1912241	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194853	SRX1355180	2015-10-19	161	175	SRR2727433	SRS1121384	GSM1912242	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194854	SRX1355181	2015-10-19	135	148	SRR2727434	SRS1121383	GSM1912243	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194855	SRX1355182	2015-10-19	205	221	SRR2727435	SRS1121382	GSM1912244	male	Motor neuron	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195001	SRX1355302	2015-10-19	61	63	SRR2727555	SRS1121263	GSM1912364	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195002	SRX1355303	2015-10-19	71	73	SRR2727556	SRS1121262	GSM1912365	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195003	SRX1355304	2015-10-19	47	49	SRR2727557	SRS1121261	GSM1912366	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194998	SRX1355305	2015-10-19	59	68	SRR2727558	SRS1121260	GSM1912367	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194999	SRX1355306	2015-10-19	78	82	SRR2727559	SRS1121259	GSM1912368	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195000	SRX1355307	2015-10-19	34	39	SRR2727560	SRS1121256	GSM1912369	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195004	SRX1355308	2015-10-19	44	48	SRR2727561	SRS1121255	GSM1912370	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195005	SRX1355309	2015-10-19	135	137	SRR2727562	SRS1121258	GSM1912371	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195006	SRX1355310	2015-10-19	69	72	SRR2727563	SRS1121257	GSM1912372	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195007	SRX1355311	2015-10-19	84	87	SRR2727564	SRS1121253	GSM1912373	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195008	SRX1355312	2015-10-19	41	43	SRR2727565	SRS1121254	GSM1912374	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195009	SRX1355313	2015-10-19	131	133	SRR2727566	SRS1121252	GSM1912375	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195010	SRX1355314	2015-10-19	43	45	SRR2727567	SRS1121251	GSM1912376	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195011	SRX1355315	2015-10-19	53	56	SRR2727568	SRS1121250	GSM1912377	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195012	SRX1355316	2015-10-19	47	49	SRR2727569	SRS1121249	GSM1912378	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195013	SRX1355317	2015-10-19	65	75	SRR2727570	SRS1121248	GSM1912379	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195014	SRX1355318	2015-10-19	63	65	SRR2727571	SRS1121247	GSM1912380	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195015	SRX1355319	2015-10-19	80	82	SRR2727572	SRS1121245	GSM1912381	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195016	SRX1355320	2015-10-19	87	90	SRR2727573	SRS1121246	GSM1912382	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195017	SRX1355321	2015-10-19	42	48	SRR2727574	SRS1121244	GSM1912383	female	E5.5 Epilbast	male C57BL/6J x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195018	SRX1355322	2015-10-19	382	383	SRR2727575	SRS1121243	GSM1912384	NA	E3.5 ICM	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04195019	SRX1355323	2015-10-19	318	331	SRR2727576	SRS1121242	GSM1912385	NA	E3.5 ICM	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194946	SRX1355324	2015-10-19	94	101	SRR2727577	SRS1121240	GSM1912386	NA	E3.5 ICM	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
SAMN04194947	SRX1355325	2015-10-19	51	58	SRR2727578	SRS1121241	GSM1912387	NA	E3.5 ICM	male CAST/EiJ x female C57BL/6J	RNA-Seq	43	PRJNA299180	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-07-27	SRP064979	embryo
